"source","variant","age_band","age_from","age_to","living_arrangement","payment_category","payment_category_share","income_lower","income_upper","weighted_mean_income","income_bin_share","weighted_n","base_income_year","income_growth_default","caveat_flags"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_living_alone","single_living_alone",0.219549402146842,30000,50000,39266.8028571429,0.077057487331819,0.0169179252746387,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_living_alone","single_living_alone",0.219549402146842,50000,75000,61158.0040553746,0.0536431941289534,0.0117773312002587,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_living_alone","single_living_alone",0.219549402146842,75000,1e+05,86230.5322741433,0.0280447317840294,0.00615720409655217,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_living_alone","single_living_alone",0.219549402146842,100000,150000,122494.838875639,0.0256421457277652,0.00562971776429303,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_living_alone","single_living_alone",0.219549402146842,150000,250000,219909.16,0.0196575222785253,0.00431579726393844,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_living_alone","single_living_alone",0.219549402146842,250000,Inf,0,0,0,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_sharing","single_sharing",0.107368053553029,0,500,0,0.385505853573301,0.0413910131314645,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_sharing","single_sharing",0.107368053553029,500,1000,814.139999999999,0.0228900926087716,0.00245766468905239,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_sharing","single_sharing",0.107368053553029,1000,2000,1814.14,0.0196138388956841,0.0021058997049323,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_sharing","single_sharing",0.107368053553029,2000,5000,3265.7025,0.139786825091735,0.0150086393224574,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_sharing","single_sharing",0.107368053553029,5000,10000,7610.18449938195,0.0706797134370085,0.00758874325741751,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_sharing","single_sharing",0.107368053553029,10000,15000,12674.7515107914,0.0485759217193779,0.00521550216455394,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_sharing","single_sharing",0.107368053553029,15000,20000,17802.0653567508,0.0397955617683033,0.00427277200711208,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_sharing","single_sharing",0.107368053553029,20000,30000,24934.9866860889,0.0599772846409226,0.00643964430929187,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_sharing","single_sharing",0.107368053553029,30000,50000,39796.7486956522,0.0803774244277477,0.00862996761041299,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
